Lista de Productos,Precios,Descuento,Marca,Supermercado,Lista de Productos Normalizados,Cluster,Nombre Cluster
papas en hojuelas lay's clásicas 150g + piqueo snax original 200g,S/13.90,0,Frito Lays,Metro,pap hojuel lay 's clasic 150g + pique snax original 200g,8,"200g, past, cuisin"
pallar cuisine & co bolsa 500 gr,S/5.52,20 %,Cuisine & Co,Metro,pall cuisin & co bols 500 gr,6,"cuisin, co, fide"
frijol panamito cuisine & co bolsa 500 gr,S/5.20,0,Cuisine & Co,Metro,frijol panamit cuisin & co bols 500 gr,3,"500, bols, costeñ"
frijol canario cuisine & co 500g,S/7.10,0,Cuisine & Co,Metro,frijol canari cuisin & co 500g,11,"500g, maxim, co"
papa seca máxima bolsa 500 g,S/5.50,0,Máxima,Metro,pap sec maxim bols 500 g,3,"500, bols, costeñ"
pastina corbata chica don vittorio 235g,S/2.30,0,Don Vittorio,Metro,pastin corbat chic don vittori 235g,1,"vittori, don, pastin"
arroz faraón extra añejo naranja bolsa 750 g,S/. 4.00,0,Faraon,Metro,arroz faraon extra añej naranj bols 750 g,7,"arroz, kg, extra"
lomito de atún primor 170g,S/6.70,0,Primor,Metro,lomit atun primor 170g,5,"aceit, atun, vegetal"
arroz extra metro 750g,S/. 3.70,0,Metro,Metro,arroz extra metr 750g,7,"arroz, kg, extra"
bombones con rellenos surtidos nestlé multipack 45un,S/17.90,20 %,Nestlé,Metro,bombon rellen surt nestl multipack 45un,0,"sals, bols, chocolat"
papas pringles original 124g,S/9.90,0,Pringles,Metro,pap pringl original 124g,0,"sals, bols, chocolat"
papas al hilo villa natura 150g,S/5.70,20 %,Villa Natura,Metro,pap hil vill natur 150g,0,"sals, bols, chocolat"
garbanzo maixma bolsa 500 g,S/4.90,0,Máxima,Metro,garbanz maixm bols 500 g,3,"500, bols, costeñ"
pallar maxima bolsa 500 g,S/5.90,0,Máxima,Metro,pall maxim bols 500 g,3,"500, bols, costeñ"
arroz familiar maxima bolsa 5 kg,S/. 16.20,0,Máxima,Metro,arroz famili maxim bols 5 kg,7,"arroz, kg, extra"
aceite vegetal cocinero 900ml,S/9.60,13 %,Cocinero,Metro,aceit vegetal cociner 900ml,5,"aceit, atun, vegetal"
panquita sibarita doypack 250 gr,S/9.40,0,Sibarita,Metro,panquit sibarit doypack 250 gr,4,"sibarit, mol, sazon"
amarillin 250g,S/7.92,20 %,Sibarita,Metro,amarillin 250g,0,"sals, bols, chocolat"
ajo molido sibarita ajo siba 250g,S/9.90,0,Sibarita,Metro,ajo mol sibarit ajo sib 250g,4,"sibarit, mol, sazon"
esencia de vainilla universal frasco 100 ml,S/2.60,0,Universal,Metro,esenci vainill universal frasc 100 ml,0,"sals, bols, chocolat"
chuño universal bolsa 180 g,S/3.10,0,Universal,Metro,chuñ universal bols 180 g,0,"sals, bols, chocolat"
polvo para hornear royal sobre 20 g,S/1.04,20 %,Royal,Metro,polv horn royal 20 g,10,"gelatin, universal, polv"
galletas rellenitas gn chocolate paquete 288 g,S/4.40,0,GN,Metro,gallet rellenit gn chocolat paquet 288 g,2,"gallet, sixpack, 47g"
harina de maiz blanco precocida p.a.n contenido 1 kg,S/8.50,25 %,P.A.N.,Metro,harin maiz blanc precoc p.a.n conten 1 kg,0,"sals, bols, chocolat"
trozos de atún en aceite vegetal florida 150g,S/5.80,9 %,Florida,Metro,troz atun aceit vegetal flor 150g,5,"aceit, atun, vegetal"
cubito sabor gallina maggi 25un.,S/5.60,0,Maggi,Metro,cubit sabor gallin maggi 25un .,9,"sabor, instantane, sop"
papas inka chips sabor bbq y cebolla 135g,S/5.50,31 %,Inka Chips,Metro,pap inka chips sabor bbq ceboll 135g,9,"sabor, instantane, sop"
papas inka chips sabor queso y cebolla 135g,S/5.50,31 %,Inka Chips,Metro,pap inka chips sabor ques ceboll 135g,9,"sabor, instantane, sop"
chocolate chocman 6un,S/. 4.10,0,Costa,Metro,chocolat chocm 6un,0,"sals, bols, chocolat"
leche condensada gloria doy pack 200 g,S/4.40,0,Gloria,Metro,lech condens glori doy pack 200 g,0,"sals, bols, chocolat"
sixpack galletas morochas doble placer 34.4g,S/4.90,28 %,Nestlé,Metro,sixpack gallet moroch dobl plac 34.4g,2,"gallet, sixpack, 47g"
salsa a la bolognesa molitalia pomarola 370g,S/7.20,0,Molitalia,Metro,sals bolognes molitali pomarol 370g,0,"sals, bols, chocolat"
gelatina universal de uva sobre 130g,S/3.75,0,Universal,Metro,gelatin universal uva 130g,10,"gelatin, universal, polv"
gelatina universal de naranja sobre 130g,S/3.75,0,Universal,Metro,gelatin universal naranj 130g,10,"gelatin, universal, polv"
gelatina en polvo sabor a piña royal sobre 160 g,S/3.00,20 %,Royal,Metro,gelatin polv sabor piñ royal 160 g,10,"gelatin, universal, polv"
gelatina en polvo sabor a naranja royal sobre 160 g,S/3.00,20 %,Royal,Metro,gelatin polv sabor naranj royal 160 g,10,"gelatin, universal, polv"
gelatina diet universal piña caja 19 g,S/3.50,0,Universal,Metro,gelatin diet universal piñ caj 19 g,10,"gelatin, universal, polv"
mezcla para apanar ajinomix ajinomoto crocante bolsa 96 g,S/3.10,0,Ajinomoto,Metro,mezcl apan ajinomix ajinomot crocant bols 96 g,0,"sals, bols, chocolat"
orégano molido sibarita pack 6 unid x 3.5 g,S/1.99,0,Sibarita,Metro,oregan mol sibarit pack 6 unid x 3.5 g,4,"sibarit, mol, sazon"
orégano entero sibarita sobre 9 g,S/1.99,0,Sibarita,Metro,oregan enter sibarit 9 g,4,"sibarit, mol, sazon"
vinagre blanco venturo botella plástica 600 ml,S/5.20,0,Venturo,Metro,vinagr blanc ventur botell plastic 600 ml,0,"sals, bols, chocolat"
vinagre blanco florida botella plástica 625 ml,S/3.40,0,Florida,Metro,vinagr blanc flor botell plastic 625 ml,0,"sals, bols, chocolat"
sazonador deli arroz pack 6 unid,S/1.70,0,Deli Arroz,Metro,sazon deli arroz pack 6 unid,4,"sibarit, mol, sazon"
sazonador ajinomoto sobre 100 g,S/3.20,0,Ajinomoto,Metro,sazon ajinomot 100 g,4,"sibarit, mol, sazon"
sazonador ajinomoto bolsa 500 g,S/11.50,0,Ajinomoto,Metro,sazon ajinomot bols 500 g,3,"500, bols, costeñ"
salsa roja completa don vittorio 200g,S/3.90,0,Don Vittorio,Metro,sals roj complet don vittori 200g,1,"vittori, don, pastin"
concentrado de tomate molitalia 110g,S/2.10,0,Molitalia,Metro,concentr tomat molitali 110g,0,"sals, bols, chocolat"
mayonesa light alacena 400g,S/13.90,0,AlaCena,Metro,mayones light alacen 400g,0,"sals, bols, chocolat"
mayonesa alacena 190g,S/9.90,0,AlaCena,Metro,mayones alacen 190g,0,"sals, bols, chocolat"
comino molido sibarita sobre 6 unid,S/3.90,0,Sibarita,Metro,comin mol sibarit 6 unid,4,"sibarit, mol, sazon"
ajo molido piki 350g,S/11.50,0,Piki,Metro,ajo mol piki 350g,4,"sibarit, mol, sazon"
ají especial panquita sin picante sibarita pack 3 unid x 31.2 g,S/3.60,0,Sibarita,Metro,aji especial panquit picant sibarit pack 3 unid x 31.2 g,4,"sibarit, mol, sazon"
tortillas de maíz tostitos original 200g,S/6.50,30 %,Frito Lays,Metro,tortill maiz tostit original 200g,8,"200g, past, cuisin"
papas al hilo lays 155g,S/5.90,0,Frito Lays,Metro,pap hil lays 155g,0,"sals, bols, chocolat"
galletas integrackers integrackers miel 30g 9un,S/10.00,0,Victoria,Metro,gallet integrackers integrackers miel 30g 9un,2,"gallet, sixpack, 47g"
wafers nik costa vainilla pack 6un,S/. 4.20,0,Costa,Metro,wafers nik cost vainill pack 6un,0,"sals, bols, chocolat"
wafers nik costa chocolate pack 6un,S/. 4.20,0,Costa,Metro,wafers nik cost chocolat pack 6un,0,"sals, bols, chocolat"
sixpack galletas oreo original 36g,S/3.84,20 %,Oreo,Metro,sixpack gallet ore original 36g,2,"gallet, sixpack, 47g"
sixpack galletas marquesitas vainilla 46g,S/5.80,0,Victoria,Metro,sixpack gallet marquesit vainill 46g,2,"gallet, sixpack, 47g"
sixpack galletas tentación sabor chocolate 47g,S/4.50,0,Victoria,Metro,sixpack gallet tentacion sabor chocolat 47g,2,"gallet, sixpack, 47g"
sixpack galletas glacitas toffee 32g,S/5.00,0,Victoria,Metro,sixpack gallet glacit toffe 32g,2,"gallet, sixpack, 47g"
sixpack galletas casino menta 47g,S/4.60,0,Victoria,Metro,sixpack gallet casin ment 47g,2,"gallet, sixpack, 47g"
sixpack galletas casino fresa 47g,S/4.60,0,Victoria,Metro,sixpack gallet casin fres 47g,2,"gallet, sixpack, 47g"
galletas saladas ritz mini paquete 50 g,S/1.20,20 %,Ritz,Metro,gallet sal ritz mini paquet 50 g,2,"gallet, sixpack, 47g"
sixpack galletas bañadas en chocolate chokosoda field 36g,S/4.80,20 %,Field,Metro,sixpack gallet bañ chocolat chokosod field 36g,2,"gallet, sixpack, 47g"
sixpack galleta costa soda light 40g,S/4.60,0,Costa,Metro,sixpack gallet cost sod light 40g,2,"gallet, sixpack, 47g"
galletas animalitos vainilla bolsa 150 g,S/1.80,0,San Jorge,Metro,gallet animalit vainill bols 150 g,2,"gallet, sixpack, 47g"
tallarín molitalia 450g,S/3.70,5 %,Molitalia,Metro,tallarin molitali 450g,0,"sals, bols, chocolat"
spaghetti nro 32 molitalia 450g,S/3.70,5 %,Molitalia,Metro,spaghetti nro 32 molitali 450g,0,"sals, bols, chocolat"
pastina corta molitalia macarrón 235g,S/2.10,0,Molitalia,Metro,pastin cort molitali macarron 235g,0,"sals, bols, chocolat"
pastina letras molitalia bolsa 250 g,S/2.10,0,Molitalia,Metro,pastin letr molitali bols 250 g,0,"sals, bols, chocolat"
pastina fusilli tricolor molitalia bolsa 250 g,S/2.75,0,Molitalia,Metro,pastin fusilli tricolor molitali bols 250 g,0,"sals, bols, chocolat"
pastina canuto chico don vittorio 235g,S/2.30,0,Don Vittorio,Metro,pastin canut chic don vittori 235g,1,"vittori, don, pastin"
cabello de ángel nro 24 molitalia bolsa 250 g,S/2.10,0,Molitalia,Metro,cabell angel nro 24 molitali bols 250 g,0,"sals, bols, chocolat"
trozos de atún en aceite vegetal campomar 150g,S/5.40,11 %,Campomar,Metro,troz atun aceit vegetal campom 150g,5,"aceit, atun, vegetal"
sopa instantánea ajinomen sabor pollo 80g,S/1.60,0,Ajinomen,Metro,sop instantane ajinom sabor poll 80g,9,"sabor, instantane, sop"
sopa de oriental con fideos ajinomen sobre 80 g,S/1.60,0,Ajinomen,Metro,sop oriental fide ajinom 80 g,9,"sabor, instantane, sop"
sopa de gallina criolla con fideos ajinomen sobre 80 g,S/1.60,0,Ajinomen,Metro,sop gallin crioll fide ajinom 80 g,9,"sabor, instantane, sop"
sopa instantánea ajinomen sabor carne 80g,S/1.60,0,Ajinomen,Metro,sop instantane ajinom sabor carn 80g,9,"sabor, instantane, sop"
cubo sabor gallina maggi 8un.,S/3.50,22 %,Maggi,Metro,cub sabor gallin maggi 8un .,9,"sabor, instantane, sop"
caldo de costilla doña gusta caja 6un,S/1.70,0,Doña Gusta,Metro,cald costill doñ gust caj 6un,0,"sals, bols, chocolat"
concentrado en polvo doña gusta sabor carne 6un,S/1.70,0,Doña Gusta,Metro,concentr polv doñ gust sabor carn 6un,9,"sabor, instantane, sop"
frijol castilla tesoro del campo bolsa 500 g,S/5.80,0,Tesoro del Campo,Metro,frijol castill tesor camp bols 500 g,3,"500, bols, costeñ"
papa seca costeño bolsa 500 g,S/7.90,0,Costeño,Metro,pap sec costeñ bols 500 g,3,"500, bols, costeñ"
quinua costeño bolsa 500 g,S/9.50,0,Costeño,Metro,quinu costeñ bols 500 g,3,"500, bols, costeñ"
arveja verde costeño bolsa 500 g,S/3.28,20 %,Costeño,Metro,arvej verd costeñ bols 500 g,3,"500, bols, costeñ"
frijol canario costeño bolsa 500 g,S/8.30,0,Costeño,Metro,frijol canari costeñ bols 500 g,3,"500, bols, costeñ"
quinua tesoro del campo bolsa 500 g,S/9.69,0,Tesoro del Campo,Metro,quinu tesor camp bols 500 g,3,"500, bols, costeñ"
frijol canario tesoro del campo bolsa 500 g,S/8.20,0,Tesoro del Campo,Metro,frijol canari tesor camp bols 500 g,3,"500, bols, costeñ"
trigo mote tesoro del campo bolsa 500 g,S/3.50,0,Tesoro del Campo,Metro,trig mot tesor camp bols 500 g,3,"500, bols, costeñ"
arroz superior valle norte primera cosecha bolsa 750 g,S/. 3.50,0,Valle Norte,Metro,arroz superior vall nort primer cosech bols 750 g,7,"arroz, kg, extra"
arroz gran reserva extra valle norte bolsa 750 g,S/. 4.30,0,Valle Norte,Metro,arroz gran reserv extra vall nort bols 750 g,7,"arroz, kg, extra"
arroz integral molino rojo bolsa 1 kg,S/. 4.90,0,Molino Rojo,Metro,arroz integral molin roj bols 1 kg,7,"arroz, kg, extra"
aceite de oliva el olivar extra virgen 500ml,S/21.90,15 %,El Olivar,Metro,aceit oliv oliv extra virg 500ml,5,"aceit, atun, vegetal"
galletas saladas ritz 52.5g,S/1.28,20 %,Ritz,Metro,gallet sal ritz 52.5g,2,"gallet, sixpack, 47g"
ketchup b&d 1kg,S/13.20,0,B&D,Metro,ketchup b & d 1kg,0,"sals, bols, chocolat"
garbanzos guisine & co 500g,S/4.90,9 %,Cuisine & Co,Metro,garbanz guisin & co 500g,11,"500g, maxim, co"
filete de atún en agua primor 140g,S/6.20,0,primor,Metro,filet atun agu primor 140g,5,"aceit, atun, vegetal"
crema de leche oquendo 236ml,S/6.00,0,Oquendo,Metro,crem lech oquend 236ml,0,"sals, bols, chocolat"
chifles crickets leche de tigre 250g,S/10.60,0,Crickets,Metro,chifl crickets lech tigr 250g,0,"sals, bols, chocolat"
fideos cuisine &co spaguetti 950g,S/5.30,1 %,cuisine---co,Metro,fide cuisin & co spaguetti 950g,6,"cuisin, co, fide"
fideos cuisine &co canuto 450g,S/3.70,0,cuisine---co,Metro,fide cuisin & co canut 450g,6,"cuisin, co, fide"
premezcla blanca flor keke casero sabor vainilla 750g,S/8.65,0,Blanca Flor,Metro,premezcl blanc flor kek caser sabor vainill 750g,9,"sabor, instantane, sop"
pastinas nicolini corbata grande 225g,S/1.70,0,Nicolini,Metro,pastin nicolini corbat grand 225g,0,"sals, bols, chocolat"
pack x6 filete de atún en agua light real 140g,S/29.90,16 %,real,Metro,pack x6 filet atun agu light real 140g,5,"aceit, atun, vegetal"
tripack menestras máxima 500g: lenteja + frejol canario + maíz pop corn,S/13.90,9 %,Máxima,Metro,tripack menestr maxim 500g : lentej + frejol canari + maiz pop corn,11,"500g, maxim, co"
tripack menestras cuisine & co 500g: lenteja + frijol canario + maíz pop corn,S/14.90,10 %,Cuisine & Co,Metro,tripack menestr cuisin & co 500g : lentej + frijol canari + maiz pop corn,11,"500g, maxim, co"
tripack menestras máxima 500g: arveja + frejol canario + quinua,S/15.50,12 %,Máxima,Metro,tripack menestr maxim 500g : arvej + frejol canari + quinu,11,"500g, maxim, co"
pack x6 trozos atún aceite vegetal campomar 150g,S/31.90,7 %,Campomar,Metro,pack x6 troz atun aceit vegetal campom 150g,5,"aceit, atun, vegetal"
tripack filete de atún real en agua 80g,S/12.90,0,Real,Metro,tripack filet atun real agu 80g,5,"aceit, atun, vegetal"
trozos de atún en aceite vegetal marinero 170g,S/4.90,9 %,Marinero,Metro,troz atun aceit vegetal mariner 170g,5,"aceit, atun, vegetal"
sixpack galletas rellenas sublime 46g,S/4.90,28 %,Sublime,Metro,sixpack gallet rellen sublim 46g,2,"gallet, sixpack, 47g"
kétchup b&d 200g,S/3.36,20 %,B&D,Metro,ketchup b & d 200g,8,"200g, past, cuisin"
harina sin preparar molitalia 1kg,S/7.40,0,Molitalia,Metro,harin prepar molitali 1kg,0,"sals, bols, chocolat"
harina preparada molitalia 1kg,S/7.60,0,Molitalia,Metro,harin prepar molitali 1kg,0,"sals, bols, chocolat"
mostaza alacena 400g,S/8.50,0,AlaCena,Metro,mostaz alacen 400g,0,"sals, bols, chocolat"
concentrado de espinaca y albahaca pomarola 170g,S/. 3.40,0,Molitalia,Metro,concentr espinac albahac pomarol 170g,0,"sals, bols, chocolat"
pack x6 galleta con quinua y chispas de chocolate inca sur 30g,S/8.00,6 %,Incasur,Metro,pack x6 gallet quinu chisp chocolat inca sur 30g,2,"gallet, sixpack, 47g"
fideo spaghetti nicolini 450g,S/3.70,7 %,Nicolini,Metro,fide spaghetti nicolini 450g,0,"sals, bols, chocolat"
fideo fettuccini don vittorio 450g,S/4.00,13 %,Don Vittorio,Metro,fide fettuccini don vittori 450g,1,"vittori, don, pastin"
fideo linguini grosso don vittorio 450g,S/4.00,13 %,Don Vittorio,Metro,fide linguini gross don vittori 450g,1,"vittori, don, pastin"
fideo linguini don vittorio 450g,S/4.00,13 %,Don Vittorio,Metro,fide linguini don vittori 450g,1,"vittori, don, pastin"
ají amarillo en pasta cuisine & co 200g,S/5.90,14 %,Cuisine & Co,Metro,aji amarill past cuisin & co 200g,8,"200g, past, cuisin"
ají panca en pasta cuisine & co 200g,S/5.90,15 %,Cuisine & Co,Metro,aji panc past cuisin & co 200g,8,"200g, past, cuisin"
canela china en polvo cuisine & co 10g,S/1.90,0,Cuisine & Co,Metro,canel chin polv cuisin & co 10g,6,"cuisin, co, fide"
romero en hojas secas cuisine & co 4g,S/1.90,0,Cuisine & Co,Metro,romer hoj sec cuisin & co 4g,6,"cuisin, co, fide"
orégano molido cuisine & co 8g,S/2.20,0,Cuisine & Co,Metro,oregan mol cuisin & co 8g,6,"cuisin, co, fide"
hongos y laurel cuisine & co 10g,S/2.30,0,Cuisine & Co,Metro,hong laurel cuisin & co 10g,6,"cuisin, co, fide"
sillao cuisine & co 500ml,S/4.20,0,Cuisine & Co,Metro,silla cuisin & co 500ml,6,"cuisin, co, fide"
gelatina umsha sabor fresa 120g,S/3.50,0,Umsha,Metro,gelatin umsha sabor fres 120g,10,"gelatin, universal, polv"
vinagreta alacena pollera 190g,S/5.50,0,AlaCena,Metro,vinagret alacen poller 190g,0,"sals, bols, chocolat"
flan umsha sabor vainilla 90g,S/2.20,0,Umsha,Metro,flan umsha sabor vainill 90g,9,"sabor, instantane, sop"
comino molido toña 50g,S/7.60,0,Toña,Metro,comin mol toñ 50g,4,"sibarit, mol, sazon"
ajo en polvo toña 18g,S/4.20,0,Toña,Metro,ajo polv toñ 18g,0,"sals, bols, chocolat"
canela molida toña 18g,S/3.80,0,Toña,Metro,canel mol toñ 18g,4,"sibarit, mol, sazon"
salsa culantrito con espinaca envasado 550 g,S/7.80,0,Sibarita,Metro,sals culantrit espinac envas 550 g,0,"sals, bols, chocolat"
salsa de ají amarillo envasado 550 g,S/13.12,20 %,Sibarita,Metro,sals aji amarill envas 550 g,0,"sals, bols, chocolat"
salsa de ají panca envasado 550 g,S/16.10,0,Sibarita,Metro,sals aji panc envas 550 g,0,"sals, bols, chocolat"
arroz faraón superior rojo x 750 g,S/. 3.80,0,Faraon,Metro,arroz faraon superior roj x 750 g,7,"arroz, kg, extra"
vinagre blanco sibarita botella 500 ml,S/3.30,0,Sibarita,Metro,vinagr blanc sibarit botell 500 ml,4,"sibarit, mol, sazon"
pack 12 unid filete atún en agua,S/67.90,0,florida,Metro,pack 12 unid filet atun agu,5,"aceit, atun, vegetal"
pasta spaghetti nro 5 bolsa 1 kg,S/5.90,6 %,Cuisine & Co,Metro,past spaghetti nro 5 bols 1 kg,8,"200g, past, cuisin"
galletas dulces bolsa 90 g,S/3.50,0,Chaplin,Metro,gallet dulc bols 90 g,2,"gallet, sixpack, 47g"
lentejas bebé bolsa 500 g,S/6.10,0,Valle Norte,Metro,lentej beb bols 500 g,3,"500, bols, costeñ"
pudín sabor a vainilla en polvo bolsa 110 g,S/2.56,20 %,Royal,Metro,pudin sabor vainill polv bols 110 g,9,"sabor, instantane, sop"
galletas integrales cracknel integral paquete 175 g,S/2.70,0,San Jorge,Metro,gallet integral cracknel integral paquet 175 g,2,"gallet, sixpack, 47g"
galletas sabor vainilla munición bolsa 450 g,S/5.90,0,San Jorge,Metro,gallet sabor vainill municion bols 450 g,2,"gallet, sixpack, 47g"
galletas fruta mixta bolsa 450 g,S/6.40,0,San Jorge,Metro,gallet frut mixt bols 450 g,2,"gallet, sixpack, 47g"
ketchup libby's,S/9.30,0,Libby's,Metro,ketchup libby 's,0,"sals, bols, chocolat"
vinagre de manzana frasco 500 ml,S/9.90,0,Cuisine & Co,Metro,vinagr manzan frasc 500 ml,3,"500, bols, costeñ"
mostaza b&d frasco 425 g + kétchup b&d frasco 425 g,S/8.96,20 %,B&D,Metro,mostaz b & d frasc 425 g + ketchup b & d frasc 425 g,0,"sals, bols, chocolat"
aceite de oliva cuisine & co botella 1 lt,S/33.20,20 %,Cuisine & Co,Metro,aceit oliv cuisin & co botell 1 lt,6,"cuisin, co, fide"
pasas morenas cuisine&co pote 250 g,S/7.60,0,Cuisine & Co,Metro,pas moren cuisin & co pot 250 g,6,"cuisin, co, fide"
almendras cuisine&co pote 100 g,S/8.50,0,Cuisine & Co,Metro,almendr cuisin & co pot 100 g,6,"cuisin, co, fide"
dulce de leche gloria doypack 200 g,S/4.20,0,Gloria,Metro,dulc lech glori doypack 200 g,0,"sals, bols, chocolat"
bizcocho relleno chocman black pack 6un,S/. 4.00,0,Costa,Metro,bizcoch rellen chocm black pack 6un,0,"sals, bols, chocolat"
puré de papas cuisine & co bolsa 125 g,S/4.50,0,Cuisine & Co,Metro,pur pap cuisin & co bols 125 g,6,"cuisin, co, fide"
maní tostado villa natura 200g,S/6.90,0,Villa Natura,Metro,man tost vill natur 200g,8,"200g, past, cuisin"
frutos de secos cocktail premium villa natura 250g,S/17.90,0,Villa Natura,Metro,frut sec cocktail premium vill natur 250g,0,"sals, bols, chocolat"
frutos secos berries berry mix villa natura 150g,S/7.50,17 %,Villa Natura,Metro,frut sec berri berry mix vill natur 150g,0,"sals, bols, chocolat"
frutos de secos cocktail premium villa natura 150g,S/8.90,18 %,Villa Natura,Metro,frut sec cocktail premium vill natur 150g,0,"sals, bols, chocolat"
almendras deshidratadas villa natura 80g,S/8.00,0,Villa Natura,Metro,almendr deshidrat vill natur 80g,0,"sals, bols, chocolat"
papas fritas nativas tiyapuy bolsa 160 g,S/. 7.50,0,Tiyapuy,Metro,pap frit nativ tiyapuy bols 160 g,0,"sals, bols, chocolat"
pasas morenas cuisine&co bolsa 180 g,S/4.69,0,Cuisine & Co,Metro,pas moren cuisin & co bols 180 g,6,"cuisin, co, fide"
pecanas peladas frutos y snacks seleccionados cuisine & co 80g,S/12.90,0,Cuisine & Co,Metro,pecan pel frut snacks seleccion cuisin & co 80g,6,"cuisin, co, fide"
almendras naturales frutos y snacks seleccionados cuisine & co 90g,S/7.80,0,Cuisine & Co,Metro,almendr natural frut snacks seleccion cuisin & co 90g,6,"cuisin, co, fide"
salsa de tomate cuisine & co doypack 380 g,S/4.32,20 %,Cuisine & Co,Metro,sals tomat cuisin & co doypack 380 g,6,"cuisin, co, fide"
crema de ají cuisine & co doypack 380 g,S/9.04,20 %,Cuisine & Co,Metro,crem aji cuisin & co doypack 380 g,6,"cuisin, co, fide"
arroz extra añejo cuisine & co bolsa 750 g,S/. 3.80,0,Cuisine & Co,Metro,arroz extra añej cuisin & co bols 750 g,7,"arroz, kg, extra"
papas en hojuelas lay's clásicas 150g + tortillas de maíz doritos queso atrevido 190g,S/14.10,0,Lays,Metro,pap hojuel lay 's clasic 150g + tortill maiz dorit ques atrev 190g,0,"sals, bols, chocolat"
aceite vegetal cuisine&co botella 900 ml,S/9.90,9 %,Cuisine & Co,Metro,aceit vegetal cuisin & co botell 900 ml,5,"aceit, atun, vegetal"
galletas saladas jamón ahumado crackelet costa bolsa 150 gr,S/3.70,0,Costa,Metro,gallet sal jamon ahum crackelet cost bols 150 gr,2,"gallet, sixpack, 47g"
galleta con avena y uvas pasas quaker pack 6 unid,S/8.90,0,Quaker,Metro,gallet aven uvas pas quak pack 6 unid,2,"gallet, sixpack, 47g"
chicle sin azúcar de fresa trident 18un,S/2.88,20 %,Trident,Metro,chicl azuc fres trident 18un,9,"sabor, instantane, sop"
mayonesa hellmann's regular 443ml,S/13.60,30 %,Hellmann's,Metro,mayones hellmann 's regul 443ml,0,"sals, bols, chocolat"
salsa roja peruana casa verde 350g,S/10.50,0,Casa Verde,Metro,sals roj peruan cas verd 350g,0,"sals, bols, chocolat"
galleta chokis chispas clásica pack 6un,S/8.50,0,Chokis,Metro,gallet chokis chisp clasic pack 6un,2,"gallet, sixpack, 47g"
aceite vegetal nicolini 900ml,S/10.00,11 %,Nicolini,Metro,aceit vegetal nicolini 900ml,5,"aceit, atun, vegetal"
galletas de chocolate rellenas con crema oreo mini bolsa 40 g,S/1.20,20 %,Oreo,Metro,gallet chocolat rellen crem ore mini bols 40 g,2,"gallet, sixpack, 47g"
solido de atún en aceite vegetal metro lata 170 g,S/4.48,20 %,Metro,Metro,sol atun aceit vegetal metr lat 170 g,5,"aceit, atun, vegetal"
tortillas de maíz doritos queso atrevido 190g,S/6.50,30 %,Frito Lays,Metro,tortill maiz dorit ques atrev 190g,0,"sals, bols, chocolat"
harina sin preparar blanca flor 1kg,S/7.30,0,Blanca Flor,Metro,harin prepar blanc flor 1kg,0,"sals, bols, chocolat"
quinua cuisine & co 500g,S/9.20,0,Cuisine & Co,Metro,quinu cuisin & co 500g,11,"500g, maxim, co"
crema de champiñones metro contenido 70 g,S/3.80,0,Metro,Metro,crem champiñon metr conten 70 g,0,"sals, bols, chocolat"
mayonesa libby's 380g,S/10.90,9 %,Libby's,Metro,mayones libby 's 380g,0,"sals, bols, chocolat"
ketchup libbys doypack 200 g,S/5.70,0,Libby's,Metro,ketchup libbys doypack 200 g,0,"sals, bols, chocolat"
galletas de arroz clásicas sin gluten costeño doypack 150 g,S/6.79,0,Costeño,Metro,gallet arroz clasic glut costeñ doypack 150 g,2,"gallet, sixpack, 47g"
galletas con grageas chips fiesta paquete 36 g pack 6 unid,S/4.30,0,Costa,Metro,gallet grag chips fiest paquet 36 g pack 6 unid,2,"gallet, sixpack, 47g"
spaghetti integral la molisana le integrali 500g,S/. 6.67,25 %,La Molisana,Metro,spaghetti integral molisan integrali 500g,11,"500g, maxim, co"
grated de atun en aceite vegetal florida lata 170 g,S/4.60,0,Florida,Metro,grat atun aceit vegetal flor lat 170 g,5,"aceit, atun, vegetal"
saquillo de arroz maxima contenido 10 kg,S/. 30.90,0,Máxima,Metro,saquill arroz maxim conten 10 kg,7,"arroz, kg, extra"
lenteja máxima 500g,S/4.30,0,Máxima,Metro,lentej maxim 500g,11,"500g, maxim, co"
pasta codo rayado molitalia bolsa 250 g,S/2.10,0,Molitalia,Metro,past cod ray molitali bols 250 g,8,"200g, past, cuisin"
lenteja baby paisana bolsa 500 g,S/5.19,0,Paisana,Metro,lentej baby paisan bols 500 g,3,"500, bols, costeñ"
sopa fuchi fu provenzal 55 g,S/4.44,0,Provenzal,Metro,sop fuchi fu provenzal 55 g,0,"sals, bols, chocolat"
salsa de aji amarillin sibarita 100 g,S/2.64,20 %,Sibarita,Metro,sals aji amarillin sibarit 100 g,4,"sibarit, mol, sazon"
penne rigate cuisine & co 500g,S/3.50,12 %,Cuisine & Co,Metro,penn rigat cuisin & co 500g,11,"500g, maxim, co"
fideos fusilli cuisine & co 500g,S/3.50,12 %,Cuisine & Co,Metro,fide fusilli cuisin & co 500g,6,"cuisin, co, fide"
filete atún en aceite de girasol real tripack de 80 g c/u,S/12.90,0,Real,Metro,filet atun aceit girasol real tripack 80 g c/u,5,"aceit, atun, vegetal"
arroz extra paisana bolsa 1 kg,S/. 5.20,0,Paisana,Metro,arroz extra paisan bols 1 kg,7,"arroz, kg, extra"
